<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
D,1,20150217,205300,18017.8900000
D,1,20150217,205400,18017.0900000
D,1,20150217,205500,18017.9200000
D,1,20150217,205600,18017.4000000
D,1,20150217,205700,18018.8400000
D,1,20150217,205800,18018.7900000
D,1,20150217,205900,18021.1700000
D,1,20150217,210000,18022.1600000
D,1,20150217,210100,18020.4500000
D,1,20150217,210200,18018.9700000
D,1,20150217,210300,18017.7800000
D,1,20150217,210400,18018.6500000
D,1,20150217,210500,18032.6800000
D,1,20150217,210600,18029.2100000
D,1,20150217,210700,18029.5000000
D,1,20150217,210800,18027.7700000
D,1,20150217,210900,18028.1700000
D,1,20150217,211000,18030.0500000
D,1,20150217,211100,18028.1500000
D,1,20150217,211200,18028.0900000
D,1,20150217,211300,18029.8500000
D,1,20150217,211400,18028.8300000
D,1,20150217,211500,18030.4100000
D,1,20150217,211600,18030.6900000
D,1,20150217,211700,18033.3200000
D,1,20150217,211800,18033.9300000
D,1,20150217,211900,18035.7300000
D,1,20150217,212000,18035.4100000
D,1,20150217,212100,18033.3900000
D,1,20150217,212200,18035.2700000
D,1,20150217,212300,18039.7100000
D,1,20150217,212400,18046.4900000
D,1,20150217,212500,18041.1900000
D,1,20150217,212600,18042.4200000
D,1,20150217,212700,18044.6900000
D,1,20150217,212800,18047.8700000
D,1,20150217,212900,18049.3100000
D,1,20150217,213000,18049.2500000
D,1,20150217,213100,18049.6300000
D,1,20150217,213200,18049.3400000
D,1,20150217,213300,18051.8200000
D,1,20150217,213400,18050.3100000
D,1,20150217,213500,18046.7300000
D,1,20150217,213600,18039.6200000
D,1,20150217,213700,18041.1600000
D,1,20150217,213800,18041.9600000
D,1,20150217,213900,18041.1900000
D,1,20150217,214000,18039.5500000
D,1,20150217,214100,18040.5100000
D,1,20150217,214200,18039.9200000
D,1,20150217,214300,18041.6100000
D,1,20150217,214400,18040.7800000
D,1,20150217,214500,18040.3200000
D,1,20150217,214600,18040.0000000
D,1,20150217,214700,18038.2900000
D,1,20150217,214800,18042.0900000
D,1,20150217,214900,18040.1000000
D,1,20150217,215000,18043.7900000
D,1,20150217,215100,18040.4200000
D,1,20150217,215200,18038.6600000
D,1,20150217,215300,18037.0300000
D,1,20150217,215400,18039.6600000
D,1,20150217,215500,18039.7300000
D,1,20150217,215600,18040.4800000
D,1,20150217,215700,18036.4400000
D,1,20150217,215800,18037.7500000
D,1,20150217,215900,18040.7100000
